YEAR,MONTH,MONTH_CATEGORY,WEEK,DAY_CATEGORY,AGE_BUCKET,GENDER,RACE,PROVINCE,TOTAL_RECORDS,TOTAL_VIEWTIME_MINUTES,TOTAL_VIEWTIME_HOURS,AVG_VIEWTIME_MINUTES,AVG_VIEWTIME_HOURS
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,indian_asian,WesternCape,1,33,0.55,33,0.55
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,other,EasternCape,1,1,0.02,1,0.02
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,other,KwazuluNatal,1,0,0,0,0
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,other,WesternCape,2,67,1.12,33.5,0.56
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,white,EasternCape,1,5,0.08,5,0.08
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,white,FreeState,1,1,0.02,1,0.02
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,white,Gauteng,11,45,0.75,4.09,0.07
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,white,Mpumalanga,1,29,0.48,29,0.48
2016,Feb,Normal_month,7,Weekend,Young Adulthood,male,white,NorthWest,3,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Adolescence,female,black,EasternCape,2,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Adolescence,female,indian_asian,KwazuluNatal,1,2,0.03,2,0.03
2016,Feb,Normal_month,8,Weekday,Adolescence,male,black,Gauteng,2,21,0.35,10.5,0.18
2016,Feb,Normal_month,8,Weekday,Adolescence,male,black,Mpumalanga,1,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Adolescence,male,coloured,NorthernCape,1,5,0.08,5,0.08
2016,Feb,Normal_month,8,Weekday,Adolescence,male,indian_asian,Limpopo,2,6,0.1,3,0.05
2016,Feb,Normal_month,8,Weekday,Adolescence,male,other,EasternCape,1,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Adolescence,male,white,Gauteng,4,2,0.03,0.5,0.01
2016,Feb,Normal_month,8,Weekday,Childhood,None,None,None,7,25,0.42,3.57,0.06
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,female,black,EasternCape,1,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,female,black,Gauteng,3,42,0.7,14,0.23
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,female,black,Mpumalanga,1,1,0.02,1,0.02
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,female,black,WesternCape,1,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,female,coloured,WesternCape,3,15,0.25,5,0.08
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,female,indian_asian,Gauteng,1,1,0.02,1,0.02
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,female,white,Gauteng,1,8,0.13,8,0.13
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,None,EasternCape,1,1,0.02,1,0.02
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,None,FreeState,4,8,0.13,2,0.03
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,None,Gauteng,2,14,0.23,7,0.12
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,None,KwazuluNatal,3,4,0.07,1.33,0.02
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,None,Mpumalanga,1,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,None,NorthWest,1,0,0,0,0
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,None,WesternCape,4,15,0.25,3.75,0.06
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,black,EasternCape,5,80,1.33,16,0.27
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,black,FreeState,2,4,0.07,2,0.03
2016,Feb,Normal_month,8,Weekday,Middle Adulthood,male,black,Gauteng,19,49,0.82,2.58,0.04
